module_run_id,module,browser_engine,run_number,start_time,end_time,duration_seconds,total_stages,completed_stages,failed_stages,recoverable_errors,unrecoverable_errors,console_error_count,network_error_count,missing_asset_count,reset_success,final_state_reached,overall_result,notes
DP_webkit_run2,Driven Pile Foundation,webkit,2,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DP_webkit_run3,Driven Pile Foundation,webkit,3,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DS_chromium_run1,Drilled Shaft Foundation,chromium,1,,,,15,0,0,0,0,,,,NOT TESTABLE,NOT TESTABLE,NOT TESTABLE,NOT TESTABLE — a real launch of the locally cached Chromium binary via Playwright was directly attempted and failed at browser process startup (Mach port rendezvous bootstrap check-in denied by the execution sandbox: 'bootstrap_check_in ... Permission denied (1100)'). Full process log: research_evaluation/logs/chromium_launch_attempt.log. Root cause (socket bind denial) reproduced independently in research_evaluation/logs/environment_blocker_evidence.log.
DS_chromium_run2,Drilled Shaft Foundation,chromium,2,,,,15,0,0,0,0,,,,NOT TESTABLE,NOT TESTABLE,NOT TESTABLE,NOT TESTABLE — a real launch of the locally cached Chromium binary via Playwright was directly attempted and failed at browser process startup (Mach port rendezvous bootstrap check-in denied by the execution sandbox: 'bootstrap_check_in ... Permission denied (1100)'). Full process log: research_evaluation/logs/chromium_launch_attempt.log. Root cause (socket bind denial) reproduced independently in research_evaluation/logs/environment_blocker_evidence.log.
DS_chromium_run3,Drilled Shaft Foundation,chromium,3,,,,15,0,0,0,0,,,,NOT TESTABLE,NOT TESTABLE,NOT TESTABLE,NOT TESTABLE — a real launch of the locally cached Chromium binary via Playwright was directly attempted and failed at browser process startup (Mach port rendezvous bootstrap check-in denied by the execution sandbox: 'bootstrap_check_in ... Permission denied (1100)'). Full process log: research_evaluation/logs/chromium_launch_attempt.log. Root cause (socket bind denial) reproduced independently in research_evaluation/logs/environment_blocker_evidence.log.
DS_firefox_run1,Drilled Shaft Foundation,firefox,1,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DS_firefox_run2,Drilled Shaft Foundation,firefox,2,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DS_firefox_run3,Drilled Shaft Foundation,firefox,3,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DS_webkit_run1,Drilled Shaft Foundation,webkit,1,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DS_webkit_run2,Drilled Shaft Foundation,webkit,2,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
DS_webkit_run3,Drilled Shaft Foundation,webkit,3,,,,15,0,0,0,0,,,,NOT TESTED,NOT TESTED,NOT TESTED,"NOT TESTED — browser binary not present in this environment's Playwright cache and could not be installed without outbound network access that was not verified for the Playwright CDN host. Not attempted because the Chromium test already established that the identical OS-level IPC restriction (Mach port bootstrap / socket bind denial, engine-independent) prevents any browser process from starting here. See research_evaluation/test_environment.md."
